Freq1,Freq2,Freq3,Amp1,Amp2,Amp3,Gap1,Gap2,Label
43.701172,463.378906,0.244141,0.016384,0.007347,0.004638,419.677734,-463.134766,Happy
70.556641,77.148438,63.720703,14611.282754,753.520443,622.512465,6.591797,-13.427734,Happy
63.476562,68.115234,58.59375,29526.324455,1496.043038,1298.596008,4.638672,-9.521484,Happy
123.046875,145.996094,134.765625,0.010065,0.008205,0.007674,22.949219,-11.230469,Happy
0.244141,203.125,362.548828,0.00115,0.000802,0.000609,202.880859,159.423828,Happy
353.515625,16.845703,250.976562,0.000304,0.000301,0.000223,-336.669922,234.130859,Happy
261.474609,491.455078,412.353516,3.599444,1.119591,0.378796,229.980469,-79.101562,Happy
248.046875,119.140625,275.390625,0.005513,0.003689,0.001953,-128.90625,156.25,Happy
367.919922,374.023438,361.816406,12.704428,0.606664,0.570905,6.103516,-12.207031,Happy
226.074219,254.638672,384.521484,0.038283,0.018347,0.009078,28.564453,129.882812,Happy
467.041016,422.119141,427.734375,55183.831129,24918.558097,2163.510049,-44.921875,5.615234,Happy
21.484375,261.962891,23.193359,6054.133955,1091.373245,314.392065,240.478516,-238.769531,Happy
351.318359,243.896484,42.480469,0.002118,0.002035,0.001905,-107.421875,-201.416016,Happy
453.125,316.40625,496.09375,4.19196,1.619632,1.248343,-136.71875,179.6875,Sad
74.21875,417.96875,109.375,2.027696,1.454988,1.401078,343.75,-308.59375,Sad
3.90625,31.25,109.375,0.973419,0.812563,0.737855,27.34375,78.125,Sad
70.3125,320.3125,359.375,1.551017,1.473893,1.412036,250,39.0625,Sad
335.9375,62.5,3.90625,1.276279,1.236201,1.049156,-273.4375,-58.59375,Sad
253.90625,207.03125,285.15625,8.226584,2.226175,1.97367,-46.875,78.125,Sad
171.875,19.53125,3.90625,0.77556,0.704291,0.652433,-152.34375,-15.625,Sad
218.75,238.28125,382.8125,1.076701,1.04596,1.007402,19.53125,144.53125,Sad
269.53125,152.34375,312.5,10.946107,8.64336,4.039988,-117.1875,160.15625,Stressed
113.28125,457.03125,125,11716.50227,1829.519067,591.301614,343.75,-332.03125,Stressed
484.375,449.21875,468.75,2.471417,2.261837,1.708842,-35.15625,19.53125,Stressed
203.125,27.34375,488.28125,101.694355,30.152636,7.814699,-175.78125,460.9375,Stressed
0.488281,9.765625,50.78125,0.126933,0.102184,0.060374,9.277344,41.015625,Relaxed
421.386719,404.296875,388.671875,0.096181,0.037701,0.03048,-17.089844,-15.625,Relaxed
389.160156,342.773438,404.296875,0.919572,0.116145,0.062064,-46.386719,61.523438,Relaxed
183.105469,196.289062,366.699219,0.101426,0.021816,0.017212,13.183594,170.410156,Relaxed
301.757812,55.664062,437.011719,1064.390321,447.651251,154.028563,-246.09375,381.347656,Relaxed
133.789062,412.597656,487.792969,0.010295,0.008099,0.007585,278.808594,75.195312,Relaxed
354.003906,397.949219,249.511719,0.030982,0.019578,0.01744,43.945312,-148.4375,Relaxed
87.890625,223.144531,91.308594,3251.506836,518.610457,151.94842,135.253906,-131.835938,Relaxed
125.976562,25.390625,438.964844,0.066078,0.023242,0.017534,-100.585938,413.574219,Relaxed
402.34375,368.652344,453.613281,0.021011,0.012332,0.012017,-33.691406,84.960938,Relaxed
205.078125,499.511719,383.789062,0.009435,0.003843,0.003838,294.433594,-115.722656,Relaxed
464.355469,142.089844,251.464844,0.02031,0.018334,0.010485,-322.265625,109.375,Relaxed
32.714844,34.179688,31.25,245854.916914,12474.729473,8420.277457,1.464844,-2.929688,Relaxed
486.328125,480.46875,133.300781,918412.991389,58535.565794,50435.579796,-5.859375,-347.167969,Relaxed
285.15625,469.726562,398.925781,0.015683,0.008877,0.008548,184.570312,-70.800781,Relaxed
499.511719,156.738281,241.699219,0.005907,0.00475,0.004212,-342.773438,84.960938,Relaxed
66.40625,145.019531,321.777344,0.479611,0.212472,0.19657,78.613281,176.757812,Relaxed
454.589844,315.917969,448.730469,12805.22116,2931.255851,631.759008,-138.671875,132.8125,Relaxed
187.011719,174.316406,192.871094,83.365213,22.185358,5.197186,-12.695312,18.554688,Relaxed
281.25,466.796875,106.933594,0.015247,0.013428,0.011456,185.546875,-359.863281,Relaxed
262.8592,101.413775,318.869501,70.737155,23.930855,4.616523,-126.537777,326.810815,Stressed
197.472224,286.3704,251.246784,8301.086327,918.16943,523.636336,-56.567469,191.243046,Stressed
201.722282,454.093535,166.503356,5276.34372,11.128664,504.191383,-26.282999,-228.323812,Stressed
235.11477,95.413101,386.837845,83.09881,16.744532,7.117483,-175.15521,412.498688,Stressed
